epoch,acc,loss,val_acc,val_loss
0,0.6633426407014035,0.993987162963394,0.7725806463149286,1.143545695274107
1,0.7885919426559308,0.6163873508435871,0.7838709662037511,1.1994154768605385
2,0.8033506183282855,0.5597362679506993,0.7741935480025507,1.0884994214580905
3,0.8400478659277186,0.4495316794729822,0.8403225798760691,0.8497744598696308
4,0.8484244117662637,0.44216617343907916,0.7387096789575393,1.3734990204534223
5,0.8647786199832562,0.39379662977874064,0.8161290330271567,0.8123569780780423
6,0.8719585162260926,0.37309366985293657,0.8161290322580645,0.8470058379634734
7,0.8771439967851596,0.370913646232573,0.7467741947020253,1.3360022129551057
8,0.873554048782618,0.3410420875697674,0.7467741935483871,1.3489274847892023
9,0.8958915037656144,0.30061380351783273,0.8387096770348087,0.8334132363719325
10,0.8887116074752275,0.31468100416075434,0.6854838709677419,2.43362622491775
11,0.8966892699963266,0.29257449349607656,0.8451612914762189,0.7101649195917191
