epoch,acc,loss,val_acc,val_loss
0,0.7076186678254561,0.8720652162909841,0.8790322584490622,0.3876381641434085
1,0.8420422817303642,0.4690405567495006,0.8935483874813203,0.36053040258346064
2,0.8504188274024823,0.44713886602256797,0.7919354842555139,0.5146924457242412
3,0.8723573993771115,0.37610786166569604,0.8919354842555138,0.31662876923238076
4,0.8827283607092234,0.34853990741540675,0.8935483870967742,0.3022201073265845
5,0.8775428800550551,0.34319049495598875,0.9048387096774193,0.24372796582118159
6,0.8871160749900279,0.33152968339892464,0.9080645161290323,0.2654653334809888
7,0.8859194255845215,0.3234086820018401,0.9112903225806451,0.24583890226579483
8,0.8847227762265656,0.3158977425252847,0.932258064516129,0.22796447781785842
9,0.91025129648904,0.2768966440166379,0.8661290318735184,0.3509928970567642
10,0.9054646988432389,0.28249801071245545,0.9032258064516129,0.26472158097932413
11,0.9118468289742395,0.26255099679256844,0.9129032261909977,0.24689062749666552
